task_id,lot_id,parent_lot_id,sub_lot_index,product_id,operation_seq,machine_id,batch_count,batch_size_units,production_units,duration_min,start_min,end_min,release_time_min,setup_before_min,setup_end_min,setup_start_min,is_overtime,calendar_shift
25,LOT_P04_L1,LOT_P04,1,P04,1,M01,40,25,1000,560,481,1041,480,20,481.0,461.0,0,REGULAR
4,LOT_P02_L1,LOT_P02,1,P02,1,M01,40,25,1000,960,1071,2031,480,30,1071.0,1041.0,0,REGULAR
7,LOT_P02_L2,LOT_P02,2,P02,1,M01,40,25,1000,960,2031,2991,480,0,2031.0,2031.0,0,REGULAR
10,LOT_P02_L3,LOT_P02,3,P02,1,M01,40,25,1000,960,2991,3951,480,0,2991.0,2991.0,1,OVERTIME
13,LOT_P02_L4,LOT_P02,4,P02,1,M01,11,25,275,264,3951,4215,480,0,3951.0,3951.0,0,REGULAR
27,LOT_P04_L2,LOT_P04,2,P04,1,M01,1,25,25,14,4245,4259,480,30,4245.0,4215.0,0,REGULAR
16,LOT_P01_L1,LOT_P01,1,P01,1,M01,40,25,1000,720,4279,4999,480,20,4279.0,4259.0,0,REGULAR
22,LOT_P05,LOT_P05,1,P05,1,M01,35,25,875,770,5029,5799,480,30,5029.0,4999.0,0,REGULAR
0,LOT_P03_L1,LOT_P03,1,P03,1,M01,40,25,1000,1400,5834,7234,960,35,5834.0,5799.0,1,OVERTIME
2,LOT_P03_L2,LOT_P03,2,P03,1,M01,38,25,950,1330,7234,8564,960,0,7234.0,7234.0,1,OVERTIME
19,LOT_P01_L2,LOT_P01,2,P01,1,M01,7,25,175,126,10120,10246,480,40,10120.0,10080.0,1,OVERTIME
5,LOT_P02_L1,LOT_P02,1,P02,2,M02,40,25,1000,640,2031,2671,480,0,2031.0,2031.0,0,REGULAR
8,LOT_P02_L2,LOT_P02,2,P02,2,M02,40,25,1000,640,3360,4000,480,0,3360.0,3360.0,0,REGULAR
11,LOT_P02_L3,LOT_P02,3,P02,2,M02,40,25,1000,640,4800,5440,480,0,4800.0,4800.0,0,REGULAR
14,LOT_P02_L4,LOT_P02,4,P02,2,M02,11,25,275,176,5440,5616,480,0,5440.0,5440.0,0,REGULAR
23,LOT_P05,LOT_P05,1,P05,2,M02,35,25,875,490,6260,6750,480,20,6260.0,6240.0,0,REGULAR
1,LOT_P03_L1,LOT_P03,1,P03,2,M02,40,25,1000,400,7715,8115,960,35,7715.0,7680.0,0,REGULAR
17,LOT_P01_L1,LOT_P01,1,P01,2,M02,40,25,1000,480,8155,8635,480,40,8155.0,8115.0,0,REGULAR
20,LOT_P01_L2,LOT_P01,2,P01,2,M02,7,25,175,84,10560,10644,480,0,10560.0,10560.0,0,REGULAR
3,LOT_P03_L2,LOT_P03,2,P03,2,M02,38,25,950,380,10684,11064,960,40,10684.0,10644.0,0,REGULAR
26,LOT_P04_L1,LOT_P04,1,P04,2,M03,40,25,1000,480,1921,2401,480,0,1921.0,1921.0,0,REGULAR
6,LOT_P02_L1,LOT_P02,1,P02,3,M03,40,25,1000,800,3390,4190,480,30,3390.0,3360.0,0,REGULAR
9,LOT_P02_L2,LOT_P02,2,P02,3,M03,40,25,1000,800,4800,5600,480,0,4800.0,4800.0,0,REGULAR
12,LOT_P02_L3,LOT_P02,3,P02,3,M03,40,25,1000,800,6241,7041,480,0,6241.0,6241.0,0,REGULAR
15,LOT_P02_L4,LOT_P02,4,P02,3,M03,11,25,275,220,7680,7900,480,0,7680.0,7680.0,0,REGULAR
24,LOT_P05,LOT_P05,1,P05,3,M03,35,25,875,630,7920,8550,480,20,7920.0,7900.0,0,REGULAR
28,LOT_P04_L2,LOT_P04,2,P04,2,M03,1,25,25,12,8575,8587,480,25,8575.0,8550.0,0,REGULAR
18,LOT_P01_L1,LOT_P01,1,P01,3,M03,40,25,1000,600,10580,11180,480,20,10580.0,10560.0,0,REGULAR
21,LOT_P01_L2,LOT_P01,2,P01,3,M03,7,25,175,105,11180,11285,480,0,11180.0,11180.0,0,REGULAR
